명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,주최자 정보,주최자 연락처,주관사 정보,주관사 연락처,행사시작일,행사종료일,공연시간,행사장소,이벤트 홈페이지,이용요금,할인정보,관람소요시간,관람가능연령,예매처,행사장 위치안내,부대행사,프로그램,상세정보,진행형태,축제형태
강콘.zip,24461,"문화체육관광부, 한국콘텐츠진흥원, 춘천시, 강원정보문화산업진흥원",1644-4894,강원특별자치도 춘천시 서면 현암리875,37.8937542182,127.69091885620001,"강콘.zip이라는 컨셉으로 진행되는 이번 행사는 ‘강원 콘텐츠를 한 곳에 모은 콘텐츠 압축 폴더’라는 뜻으로 도내 콘텐츠 기업과 창작자들의 문화콘텐츠 전시와 시연회, 콘텐츠와 관련된 다채로운 프로그램으로 구성되어 있다. 참관객들은 고전게임 대회, VR체험, 웹툰 체험 등 대중적인 콘텐츠를 체험할 수 있으며, DIY 플랫폼토이, 콘텐츠 모음.zip, 가상 크라우드 펀딩 등 이색 체험 프로그램이 준비되어 있어 남녀노소 누구나 재밌게 즐길 수 있는 행사이다.","문화체육관광부, 한국콘텐츠진흥원, 춘천시, 강원정보문화산업진흥원",1644-4894,,,20231118.0,20231119.0,10:00 ~ 17:00,춘천시 서면 강원콘텐츠코리아랩 일대,,무료,,,전 연령,,,,,"행사소개:강콘.zip이라는 컨셉으로 진행되는 이번 행사는 ‘강원 콘텐츠를 한 곳에 모은 콘텐츠 압축 폴더’라는 뜻으로 도내 콘텐츠 기업과 창작자들의 문화콘텐츠 전시와 시연회, 콘텐츠와 관련된 다채로운 프로그램으로 구성되어 있다. 참관객들은 고전게임 대회, VR체험, 웹툰 체험 등 대중적인 콘텐츠를 체험할 수 있으며, DIY 플랫폼토이, 콘텐츠 모음.zip, 가상 크라우드 펀딩 등 이색 체험 프로그램이 준비되어 있어 남녀노소 누구나 재밌게 즐길 수 있는 행사이다.
행사내용:1. 전시 프로그램 : 강원특별자치도 콘텐츠 전시
2. 체험 프로그램 : DIY 플랫폼토이, VR체험, 웹툰 체험, 콘텐츠 모음.zip, 가상 크라우드 펀딩 등
3. 부대 프로그램 : 고전게임 대회 등
3. 참여 프로그램 : 버스킹 공연 등
",선택안함,선택안함
2023 진주전통공예비엔날레,52710,"진주시, 진주전통공예비엔날레조직위원회",02-732-9382,경상남도 진주시 진주대로879번길 18 (강남동),35.1785527282,128.08929255639998,"2023진주전통공예비엔날레는 오늘의 공예, 내일의 전통을 주제로 국내 공예작가 37인과 유네스코 공예 및 민속예술 창의도시 공예작가 10인이 함께 한다. 전통의 기술과 정신을 계승하는 창의적인 공예 작품으로 오늘의 공예와 내일의 전통을 기대한다.","진주시, 진주전통공예비엔날레조직위원회",02-732-9382,진주문화관광재단,02-732-9382,20231101.0,20231130.0,10:00-17:30 (마지막 입장 17:00),진주철도문화공원,,무료,,,,,,,,"행사소개:2023진주전통공예비엔날레는 오늘의 공예, 내일의 전통을 주제로 국내 공예작가 37인과 유네스코 공예 및 민속예술 창의도시 공예작가 10인이 함께 한다. 전통의 기술과 정신을 계승하는 창의적인 공예 작품으로 오늘의 공예와 내일의 전통을 기대한다. 
행사내용:1. 주제관 Main Exhibition : 백년의 시간이 묻어있는 공간에서 만나는 나무, 도자, 금속, 섬유의 4대재료의 공예작품 전시
2. 유네스코 창의도시 UNESCO Creative city Exhibition : 유네스코 공예 및 민속예술 창의도시 중 가나자와(일본) 등 9개국 10개도시에서 참여하는 국내외 공예작가의 공예작품 전시
3. 동반행사 : 진주아티스트 인 레지던스 및 진주실크레지던스 결과작품 전시, 전통공예창업아이디어 공모전 수상작 전시회, 프랑스문화예술학회와의 학술행사 공동주최, 진주공예인전 및 공예체험 등
",선택안함,선택안함
청도 프로방스 크리스마스 산타마을 빛축제,38324,청도 프로방스,054-372-5050,경상북도 청도군 화양읍 이슬미로 272-23청도 프로방스,35.6841071536,128.7182014851,"1996년 청도 테마랜드로 오픈하였다.<br>2012년 청도프로방스 포토랜드로 새롭게 단장하여 여러분을 맞이한지 10년이 흘렀다.<br><br>프랑스의 정감있는 프로방스마을을 청도에 그대로 재현하였다.<br>투명한 햇살 아래 무르익은 포도, 광활하게 펼쳐진 보랏빛의 라벤다,풍요로운 대자연 속에 독특한 문화와 예술이 살아 숩 쉬는 그 곳은 바로 프랑스 남동부 지역의 프로방스 마을이다.<br><br>고흐, 세잔, 샤갈, 마티스 등이 사랑한 그 곳 프로방스 마을로의 로맨틱한 여행과 빛축제를 즐길수 있는 곳이다.<br>낮에는 100여가지 다양한 포토존과 아기자기한 소품, 예쁜 집들이 여러분을 맞이하고 어둠이 내리면 눈부시게 빛나는 빛 축제로 변신하는 곳이다.<br><br>겨울에는 아름다운 빛축제와 산타포토존의 콜라보 컨셉으로 축제가 열리는 곳이다.<br>청도 프로방스 크리스마스 산타마을 빛축제에서 산타클로스, 루돌프 사슴, 산타요정을 만날 수 있다.아름다게 빛나는 크리스마스 빛축제로 행복하고 설레는 성탄 분위기를 느낄 수 있는 곳이다.",청도 프로방스,054-372-5050,,,20231104.0,20240217.0,,청도 프로방스,,"11,000원(주중,주말, 대인,소인 공통)",,,,,,,,"행사소개:1996년 청도 테마랜드로 오픈하였다.<br>2012년 청도프로방스 포토랜드로 새롭게 단장하여 여러분을 맞이한지 10년이 흘렀다.<br><br>프랑스의 정감있는 프로방스마을을 청도에 그대로 재현하였다.<br>투명한 햇살 아래 무르익은 포도, 광활하게 펼쳐진 보랏빛의 라벤다,풍요로운 대자연 속에 독특한 문화와 예술이 살아 숩 쉬는 그 곳은 바로 프랑스 남동부 지역의 프로방스 마을이다.<br><br>고흐, 세잔, 샤갈, 마티스 등이 사랑한 그 곳 프로방스 마을로의 로맨틱한 여행과 빛축제를 즐길수 있는 곳이다.<br>낮에는 100여가지 다양한 포토존과 아기자기한 소품, 예쁜 집들이 여러분을 맞이하고 어둠이 내리면 눈부시게 빛나는 빛 축제로 변신하는 곳이다.<br><br>겨울에는 아름다운 빛축제와 산타포토존의 콜라보 컨셉으로 축제가 열리는 곳이다.<br>청도 프로방스 크리스마스 산타마을 빛축제에서 산타클로스, 루돌프 사슴, 산타요정을 만날 수 있다.아름다게 빛나는 크리스마스 빛축제로 행복하고 설레는 성탄 분위기를 느낄 수 있는 곳이다.
행사내용: 대표 프로그램<br>글램핑, 사계절 썰매장 등
",선택안함,선택안함
호미곶한민족해맞이축전,37928,포항시,054-289-7855,경상북도 포항시 남구 호미곶면 해맞이로 136호미곶 해맞이광장,36.076106632300004,129.5665381255,"한반도의 최동단에 위치해, 해가 가장 먼저 뜨는 호미곶에서는 매년 호미곶한민족해맞이축전이 개최된다. <br>차별화된 공연예술, 이슈행사와 다양한 참여형 프로그램 개최를 통해 호미곶 지역을 대내외에 널리 홍보하고 있다. 특히 올해는 지역 소상공인과 함께하는 호미곶 마켓, 용의 해를 활용한 포토 부스와 플로깅 체험 등 풍성한 프로그램을 즐길 수 있다.",포항시,054-289-7855,포항문화재단,054-289-7855,20231231.0,20240101.0,16:00 ~ 08:00(익일),호미곶 해맞이광장,,무료,,,,,,,,"행사소개:한반도의 최동단에 위치해, 해가 가장 먼저 뜨는 호미곶에서는 매년 호미곶한민족해맞이축전이 개최된다. <br>차별화된 공연예술, 이슈행사와 다양한 참여형 프로그램 개최를 통해 호미곶 지역을 대내외에 널리 홍보하고 있다. 특히 올해는 지역 소상공인과 함께하는 호미곶 마켓, 용의 해를 활용한 포토 부스와 플로깅 체험 등 풍성한 프로그램을 즐길 수 있다. 
행사내용:1. 메인 프로그램 : 새해 인사, 신년 퍼포먼스, 2024 신년 축하공연 등 <br>2. 부대 프로그램 : 호미곶 마켓(판매 부스), 떡국 나눔, 포토 부스, 플로깅 체험, 현장 참여 이벤트 등
",선택안함,선택안함
코리아비건페어 2024,6164,코리아비건페어 주최 사무국,02-761-3111,서울특별시 강남구 영동대로 513(삼성동),37.5117148467,127.0594429796,"코리아비건페어 2024는 매년 코엑스에서 개최되는 비건 전문 산업 전시회이다.비건 식품, 패션, 화장품, 생활용품 및 인테리어용품, 친환경 기술 및 서비스, 협단체 및 마켓, 관광상품, 서적 등 비건 및 친환경과 관련된 다양한 업체 및 브랜드가 출품하며, 바이어와 관람객이 참가하는 B2B, B2C 전시이다.",코리아비건페어 주최 사무국,02-761-3111,코리아비건페어 주최 사무국,,20240411.0,20240413.0,10:00 - 18:00,코엑스 B홀,,"유료 <BR>- 1차 사전등록 (2024년 3월 8일 금요일까지) : 3,000원 <BR>- 2차 사전등록 (2024년 3월 9일 토요일 ~ 2024년 4월 10일 수요일) : 4,000원 <BR>- 현장구매 : 5,000원",,,전 연령,,,,,"행사소개:코리아비건페어 2024는 매년 코엑스에서 개최되는 비건 전문 산업 전시회이다.비건 식품, 패션, 화장품, 생활용품 및 인테리어용품, 친환경 기술 및 서비스, 협단체 및 마켓, 관광상품, 서적 등 비건 및 친환경과 관련된 다양한 업체 및 브랜드가 출품하며, 바이어와 관람객이 참가하는 B2B, B2C 전시이다.	
행사내용:비건 식품, 패션, 화장품, 생활용품, 친환경 기술 및 서비스 등 비건을 기반으로 '지속가능성'을 표방하는 다양한 업체의 브랜드와 제품들을 직접 체험하고 비건 트렌드를 파악할 수 있는 전시회이다. 비건 및 지속가능성과 관련된 강연, 세미나, 체험 프로그램 등의 부대행사와 주최 측과 각 참가업체들이 진행하는 다양한 이벤트와 경품행사를 진행한다.
",선택안함,선택안함
2023 고양 문화예술정책포럼,10393,고양특례시,010-2814-1055,경기도 고양시 일산동구 한류월드로 281 (장항동),37.6617780539,126.75463876180001,"2023 고양 문화예술정책포럼 <고양시와 케이팝, 새로운 미래를 열다>는 미래를 바꾸는 도시 고양시와 대한민국의 글로벌 문화 대표, 케이팝(K-pop)이 만나 새로운 미래를 열어나가는 포럼이다. 케이팝은 한국에서 탄생했지만, 현재는 전 세계에서 사랑받고 있으며 K-컬처 기반 문화 산업의 핵심 동력으로 자리 잡았다. 최근에는 글로벌 팬덤 문화가 새로운 트랜드를 형성하고 있으며, 국내를 찾는 외국인 팬들의 수도 크게 증가하는 중이다. 이에 동시대 케이팝의 현재를 돌아보고, 고양시 음악산업계가 젊은 음악인 성장에 어떻게 기여해 왔는지, 케이팝 팬덤 문화와 새로운 문화사업에 관해 토론하고, 고양시가 케이팝을 통해 끌어 나갈 미래에 대해 깊이 있는 논의가 이루어질 예정이다.",고양특례시,010-2814-1055,(주)케이아츠크리에이티브,010-2814-1055,20231115.0,20231115.0,14:00~16:00,EBS 스페이스홀,,무료,,120분,,,,,,"행사소개:2023 고양 문화예술정책포럼 <고양시와 케이팝, 새로운 미래를 열다>는 미래를 바꾸는 도시 고양시와 대한민국의 글로벌 문화 대표, 케이팝(K-pop)이 만나 새로운 미래를 열어나가는 포럼이다. 케이팝은 한국에서 탄생했지만, 현재는 전 세계에서 사랑받고 있으며 K-컬처 기반 문화 산업의 핵심 동력으로 자리 잡았다. 최근에는 글로벌 팬덤 문화가 새로운 트랜드를 형성하고 있으며, 국내를 찾는 외국인 팬들의 수도 크게 증가하는 중이다. 이에 동시대 케이팝의 현재를 돌아보고, 고양시 음악산업계가 젊은 음악인 성장에 어떻게 기여해 왔는지, 케이팝 팬덤 문화와 새로운 문화사업에 관해 토론하고, 고양시가 케이팝을 통해 끌어 나갈 미래에 대해 깊이 있는 논의가 이루어질 예정이다. 
행사내용:[세션 1] 14:00~14:15 오프닝 공연 
이무진/가수, 고양시 브랜드 홍보대사

[세션 2] 14:20~14:30 인사말 및 축사 
김영남/고양시 교육문화국장, 시의회 관계자 등

[세션 3] 14:30~15:00 키노트 스피치(기조발제) 
‘동시대 케이팝의 현재와 고양시 음악 페스티벌의 가능성’
이동연 _ 한국예술종합학교 교수, 前 서울 아레나 MP

[세션 4] 15:00~16:00 라운드 테이블(종합토론)
‘고양시 관내 음악산업계 우수 사례 공유’
‘케이팝 팬덤 문화와 새로운 문화사업으로서의 팬덤 시장’
‘고양시에서 케이팝/대중음악 문화를 어떻게 만들어 갈 것인가?’

모더레이터 : 정덕현/대중문화평론가, 칼럼니스트
패널: 
김광현/EBS 스페이스공감 기획위원
김윤하/대중음악평론가
이종임/문화산업의 노동구조와 아이돌 저자
임희윤/대중음악평론가
서정민갑/대중음악의견가
최상아/CJ ENM BE 사업팀 팀장
권민주/고양시 문화예술과 전문위원
",선택안함,선택안함
2023울산문화박람회X울산에이팜,44951,울산광역시,052-255-1941,울산광역시 울주군 삼남읍 울산역로 255,35.5556598644,129.1316827314,"2023 울산문화박람회X울산에이팜은 울산에서만 경험할 수 있는 예술, 문화정책, 전시, 체험, 특화상품 등 5개 구·군의 다채로운 문화를 통해 도시 경쟁력을 확인하고 문화도시 울산의 미래 비전을 공유하는 플랫폼이다. 2012년부터 이어져온 아시아-태평양 지역음악 교류 국제뮤직플랫폼인 울산에이팜(APaMM)과 연계 개최함으로써 문화로 도약하는 울산을 선보인다.",울산광역시,052-255-1941,울산문화관광재단,,20231123.0,20231126.0,10:00 ~ 20:00,유에코(울산전시컨벤션센터),,무료,,,,,,,,"행사소개:2023 울산문화박람회X울산에이팜은 울산에서만 경험할 수 있는 예술, 문화정책, 전시, 체험, 특화상품 등 5개 구·군의 다채로운 문화를 통해 도시 경쟁력을 확인하고 문화도시 울산의 미래 비전을 공유하는 플랫폼이다. 2012년부터 이어져온 아시아-태평양 지역음악 교류 국제뮤직플랫폼인 울산에이팜(APaMM)과 연계 개최함으로써 문화로 도약하는 울산을 선보인다.
행사내용:전시프로그램: 예술, 문화정책, 체험, 특화상품 등 울산 고유의 특성이 반영된 구·군의 다채로운 문화콘텐츠와 울산의 비전을 만나볼 수 있다.
회의프로그램: 지역 문화콘텐츠와 관련한 사례 발제 및 국내외 음악전문가와 함께하는 협력 회의를 통해 소통의 장을 제공한다.
공연프로그램: 지역의 특성을 반영한 국내 유수 또는 유망한 아티스트들의 공연 프로그램을 선보인다.
부대프로그램: 주요 행사 외에 울산만의 문화를 몸소 느끼고 맛볼 수 있는 체험 프로그램에 참여하실 수 있다.
",선택안함,선택안함
성북청춘불패영화제,2827,성북구,02-6906-3116,서울특별시 성북구 아리랑로 82 (돈암동)아리랑시네센터,37.6001676414,127.0139640571,"「성북청춘불패영화제」는 젊은 영화인들의 창작활동을 지지하며 2021년 첫발을 내딛게 되었다. 젊음이라는 공통의 조건 속에서 각자의 방식으로 세계를 바라보는 청춘들의 참신한 발상과 날카로운 시선, 그리고 빛나는 이들의 가능성을 발견하고자 마련된 영화제이다.

올해로 제3회를 맞이한 성북청춘불패영화제의 슬로건 ‘JUMP CUT’은 순간을 재해석하는 대담성, 낯설게 바라보는 비판적 사고, 장르의 변주를 두려워하지 않는 젊은 영화인들의 당당함을 담아내고 있다. (연속성의 흐름을 깨뜨리며 상상력을 자극한다는 의미의 영화용어이다.) 공모를 통한 34편의 단편경쟁작과 비경쟁 섹션 ‘성북시퀀스’는 성북구 관내대학에서 제작된 우수 단편영화를 통해 동시대 지역영화 지형도의 단면을 엿볼 수 있는 작품을 상영한다. 성북청춘불패영화제는 앞으로도 현실과 상상이 만나는 단편영화라는 공간 속에서 무한한 잠재력을 발휘하는 젊은 영화인들의 도전을 기대하며 젊음의 불패(不敗)함을 응원하고자 한다.",성북구,02-6906-3116,성북문화재단 아리랑시네센터,,20231109.0,20231115.0,09:00~22:00,아리랑시네센터,,무료,,,,,,,,"행사소개:「성북청춘불패영화제」는 젊은 영화인들의 창작활동을 지지하며 2021년 첫발을 내딛게 되었다. 젊음이라는 공통의 조건 속에서 각자의 방식으로 세계를 바라보는 청춘들의 참신한 발상과 날카로운 시선, 그리고 빛나는 이들의 가능성을 발견하고자 마련된 영화제이다.

올해로 제3회를 맞이한 성북청춘불패영화제의 슬로건 ‘JUMP CUT’은 순간을 재해석하는 대담성, 낯설게 바라보는 비판적 사고, 장르의 변주를 두려워하지 않는 젊은 영화인들의 당당함을 담아내고 있다. (연속성의 흐름을 깨뜨리며 상상력을 자극한다는 의미의 영화용어이다.) 공모를 통한 34편의 단편경쟁작과 비경쟁 섹션 ‘성북시퀀스’는 성북구 관내대학에서 제작된 우수 단편영화를 통해 동시대 지역영화 지형도의 단면을 엿볼 수 있는 작품을 상영한다. 성북청춘불패영화제는 앞으로도 현실과 상상이 만나는 단편영화라는 공간 속에서 무한한 잠재력을 발휘하는 젊은 영화인들의 도전을 기대하며 젊음의 불패(不敗)함을 응원하고자 한다.	
행사내용:1. 메인프로그램
  1) 제3회 성북청춘불패영화제 개막식(11.9): 개막작 2편 상영 및 축하공연
  2) 제3회 성북청춘불패영화제 폐막식(11.15): 시상 및 대상 수상작 상영

2. 단편경쟁 34편 상영, 성북시퀀스 12편 상영, 특별프로그램 10편 상영, 개·폐막작 3편 상영
  - 작품공모를 통하여 본선에 오른 34편의 단편영화를 상영
  - 박석영 영화감독, 남다은 영화평론가, 김시은 영화배우의 심사
  - 관객 투표를 통해 [단편경쟁] 관객상 선정

3. 성북시퀀스, 성북시퀀스 옴니버스 12편 상영
  1) <성북시퀀스>: 성북구 관내 대학에서 제작된 우수 단편영화를 초청하여 상영(비경쟁)
  2) <성북시퀀스 옴니버스: 오해와 이해 사이>: <하이퍼링크-영상예술분야> 단편영화 제작지원을 통해 제작

4. 특별프로그램 10편 상영
  1) <이연 배우전: 또 다른 사연>: 이연 배우의 초창기 단편영화 4편 상영 및 GV(관객과의 대화)
  2) <단편영화 제작지원 프로젝트: 겨울방학, 여름방학>: 단편영화 제작지원 프로젝트의 선정작 김민성 감독의 <여름방학>과 김민성 감독의 전작 <겨울방학> 상영 및 GV(관객과의 대화)
  3) <KAFA 40주년 특별전: 청춘 판타지아>: ‘한국영화아카데미(KAFA)의 40주년 특별전’으로 KAFA의 판타지장르영화 4편 상영 및 GV(관객과의 대화)
  
5. 관객 이벤트
  1) 영화 관람 후 GV(관객과의대화) 및 해설 프로그램 참여
  2) [단편경쟁] 관객상 선정
  3) GV(관객과의대화) 및 해설 프로그램 참여 대상 영화제 전용 굿즈 증정 등
  4) SNS 이벤트 및 설문조사 참여 등
",선택안함,선택안함
2023 서점의 날,3154,"문화체육관광부, 한국출판문화산업진흥원",02-6952-6283,서울특별시 종로구 종로 1 (종로1가)23F,37.5709981632,126.9779959406,"한국서점조합연합회는 11월 11일을 서점의 날로 제정·선포하고, 문화체육관광부 지원 하에 매 년 <서점의 날> 기념 사업을 추진하고 있다. 서점의 날 기념식과 시상식, 서점 콘퍼런스 등 다양한 문화 행사와 이벤트를 전국 지역서점들과 함께 기념하고 진행한다.","문화체육관광부, 한국출판문화산업진흥원",02-6952-6283,한국서점조합연합회,,20231110.0,20231110.0,14:00,광화문교보빌딩 대산홀 23층,,무료,,,,,,,,"행사소개:한국서점조합연합회는 11월 11일을 서점의 날로 제정·선포하고, 문화체육관광부 지원 하에 매 년 <서점의 날> 기념 사업을 추진하고 있다. 서점의 날 기념식과 시상식, 서점 콘퍼런스 등 다양한 문화 행사와 이벤트를 전국 지역서점들과 함께 기념하고 진행한다.
행사내용:기념식 : 2023년 11월 10일(금) 오후 2시
3차 콘퍼런스 : 2023년 11월 10일(금) 오후 7시 
",선택안함,선택안함
마노르블랑 동백꽃 감귤체험 축제,63527,마노르블랑,064-794-999,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,33.254851040300004,126.2949957149,"마노르블랑은 서귀포시에 위치한 가든 카페이다. <br>
마노르블랑에서는 매년 동백꽃 축제가 열리고 있지만 올해는 감귤체험까지 더해져 더욱 더 특별한 동백꽃 축제가 열린다.<br>
동백꽃과 함께 즐길수 있는 감귤체험이 개장했다. 또한, 마노르블랑은 우리나라 최남단에 위치하고 있어 다양한 식물들이 식재되어있기에 제주도를 찾는 수많은 관광객들은 물론이며 제주도민까지도 찾는 명소로 손꼽힌다. 4000여 평 정원 속에 다양한 동백꽃 산책로가 있으며 산방산과 송악산 사이로 형제섬과 사계 앞바다가 보이는 환상적인 조망 또한 마노르블랑의 자랑거리이다. 환상적인 조망과 함께 동백꽃 인생샷을 남길 수 있는 다양한 포토존이 준비되어 있고 야외 잔디정원에서는 피아노 연주 버스킹을 즐길 수 있다. 또한 감귤체험(별도)을 즐길수있다.<br>
이곳 마노르블랑은 지금 감귤과 동백꽃 축제의 향연이 펼쳐지고 있다.<br><br>
** 동백꽃 개화는 11월부터 점차 개화",마노르블랑,064-794-999,마노르블랑,,20231020.0,20240131.0,9:00~18:00,마노르블랑,,입장료 성인 4천원 / 감귤체험비: 1인 5천 원~7천 원,,30분~2시간,전연령,,,,,"행사소개:마노르블랑은 서귀포시에 위치한 가든 카페이다. <br>
마노르블랑에서는 매년 동백꽃 축제가 열리고 있지만 올해는 감귤체험까지 더해져 더욱 더 특별한 동백꽃 축제가 열린다.<br>
동백꽃과 함께 즐길수 있는 감귤체험이 개장했다. 또한, 마노르블랑은 우리나라 최남단에 위치하고 있어 다양한 식물들이 식재되어있기에 제주도를 찾는 수많은 관광객들은 물론이며 제주도민까지도 찾는 명소로 손꼽힌다. 4000여 평 정원 속에 다양한 동백꽃 산책로가 있으며 산방산과 송악산 사이로 형제섬과 사계 앞바다가 보이는 환상적인 조망 또한 마노르블랑의 자랑거리이다. 환상적인 조망과 함께 동백꽃 인생샷을 남길 수 있는 다양한 포토존이 준비되어 있고 야외 잔디정원에서는 피아노 연주 버스킹을 즐길 수 있다. 또한 감귤체험(별도)을 즐길수있다.<br>
이곳 마노르블랑은 지금 감귤과 동백꽃 축제의 향연이 펼쳐지고 있다.<br><br>
** 동백꽃 개화는 11월부터 점차 개화
행사내용:전망좋은 아름다운 정원에서 만나는 동백꽃과 감귤체험		
",,
2023 SW인재페스티벌,10390,과학기술정보통신부,070-4610-6444,경기도 고양시 일산서구 킨텍스로 217-60 (대화동),37.6689881691,126.7458171427,"올해 7회째를 맞이한  SW인재페스티벌은 2017년부터 대중들이 쉽게  SW에 관하여 이해하고, SW산업의 중요성 전달 및 SW의 가치를 확산하고자 진행되는 대표적인 SW의 행사이다. 본 페스티벌은 SW중심대학사업의 교육성과 등 공유를 통해 범국민적 SW산업을 견인할 인재양성의 중요성과 SW교육 가치 확산을 위해 매년 개최되는 중이며, 2023년 11월 3일(금)부터 2023년 11월 4일(토)까지 킨텍스 제2전시장 7A홀에서 개최된다. SW 산업과 관련한 전시·체험·강연 등 다양한 콘텐츠를 통해 대중들이 SW산업을 좀더 쉽고 재미있게 체험해 볼 수 있는 특별한 기회가 될 분 행사에 많은 관심과 참여를 바란다.",과학기술정보통신부,070-4610-6444,"정보통신기획평가원, (사)소프트웨어중심대학협의회",070-4610-6444,20231103.0,20231104.0,1일차 : 10:00 ~ 17:10 <br>2일차 : 10:00 ~ 16:00,킨텍스 제2전시장 7A홀,,무료,,,전 연령,,,,,"행사소개:올해 7회째를 맞이한  SW인재페스티벌은 2017년부터 대중들이 쉽게  SW에 관하여 이해하고, SW산업의 중요성 전달 및 SW의 가치를 확산하고자 진행되는 대표적인 SW의 행사이다. 본 페스티벌은 SW중심대학사업의 교육성과 등 공유를 통해 범국민적 SW산업을 견인할 인재양성의 중요성과 SW교육 가치 확산을 위해 매년 개최되는 중이며, 2023년 11월 3일(금)부터 2023년 11월 4일(토)까지 킨텍스 제2전시장 7A홀에서 개최된다. SW 산업과 관련한 전시·체험·강연 등 다양한 콘텐츠를 통해 대중들이 SW산업을 좀더 쉽고 재미있게 체험해 볼 수 있는 특별한 기회가 될 분 행사에 많은 관심과 참여를 바란다.
행사내용:SW중심대학 주요 성과 및 산학협력프로젝트를 통해 도출된 우수성과물 소개·전시·시상 행사가 진행된다. 상시 행사로는 부스 전시회가 있으며, 대학 홍보입시관, 우수작품관, 기업관 및 공동채용관 등이 설치되어 운영된다. 메인 무대에서는 각 소프트웨어중심대학 소속 학교 팀의 발표회, 시상식, 명사특강과 토크 콘서트가 진행 될 예정이다.
",선택안함,선택안함
2023 제4회 <급이 있는 영화제>,30129,영상물등급위원회,051-990-7262,세종특별자치시 나성로 38 (나성동),36.483531565700005,127.263772494,"등급과 함께하는 영화이야기! 2023년 <급이 있는 영화제>가 세종시를 찾아간다. <급이 있는 영화제>는 영화를 감상하고 등급분류 퀴즈 및 모의 등급분류 체험을 하는 관객 참여형으로 이뤄진다. 특히, 이번 영화제는 지역 관객층과 더욱 적극적으로 소통하기 위해 올해 처음으로 세종특별자치시 시민과 학생들을 대상으로 진행된다.",영상물등급위원회,051-990-7262,,,20231102.0,20231103.0,09:30~16:00,메가박스 세종나성점,,무료,,,,,,,,"행사소개:등급과 함께하는 영화이야기! 2023년 <급이 있는 영화제>가 세종시를 찾아간다. <급이 있는 영화제>는 영화를 감상하고 등급분류 퀴즈 및 모의 등급분류 체험을 하는 관객 참여형으로 이뤄진다. 특히, 이번 영화제는 지역 관객층과 더욱 적극적으로 소통하기 위해 올해 처음으로 세종특별자치시 시민과 학생들을 대상으로 진행된다. 
행사내용:11월 2일 오전 ‘어린이와 함께하는 영화 <엘리멘탈>’을 시작으로, 오후에는 개막식 및 ‘청소년과 함께하는 영화 <1947 보스톤>’ 프로그램이 진행된다. 이어서 3일 오전에도 어린이 대상 프로그램을 운영하여 더 많은 아동 및 청소년의 참여를 통해 영화 등급분류에 대한 이해를 높일 수 있도록 할 예정이다. 11월 3일 오후 1시에는 ‘강제규 감독과 함께 하는 영화 <1947 보스톤>’ 프로그램이 개최된다. 영화를 관람한 후, <1947 보스톤>의 강제규 감독, 이화정 영화 저널리스트, 그리고 실제 등급분류 업무를 하고 있는 등급분류 위원이 게스트로 참여하여 시민들과 함께 영화와 등급에 관한 다양한 이야기를 나누게 된다.
",선택안함,선택안함
2023 대한민국 과학기술대전,13817,과학기술정보통신부,02-6356-5003,경기도 과천시 상하벌로 110 (과천동),37.4408665329,127.0047138503,"대한민국 과학기술의 성과를 볼 수 있는 ‘2023 대한민국 과학기술대전’이 ‘세상을 바꿀 대한민국 과학기술’이라는 주제로 국립과천과학관에서 4일간 개최된다.개막식, 과학기술 성과전시, 포럼·강연 등 다양한 프로그램을 준비하였으니 많은 관심과 참여 부탁드린다.",과학기술정보통신부,02-6356-5003,"한국연구재단, 국가과학기술연구회",,20231109.0,20231112.0,09:30 ~ 17:30,국립과천과학관,,무료,,,,,,,,"행사소개:대한민국 과학기술의 성과를 볼 수 있는 ‘2023 대한민국 과학기술대전’이 ‘세상을 바꿀 대한민국 과학기술’이라는 주제로 국립과천과학관에서 4일간 개최된다.개막식, 과학기술 성과전시, 포럼·강연 등 다양한 프로그램을 준비하였으니 많은 관심과 참여 부탁드린다.
행사내용:개막식 / R&D 성과 전시 / 부대행사 / 연계행사 등 다양한 프로그램으로 구성
",선택안함,선택안함
