명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,수용인원,이용시간,쉬는날,이용요금,할인정보,관람소요시간,주차시설,주차요금,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보
예술공간 이아,63169,,,제주특별자치도 제주시 중앙로14길 21,33.5111846177,126.52210911719999,"예술공간 이아는 예전 제주대학교 병원 건물의 골조를 그대로 살린 채 리모델링하여 만든 복합문화공간으로 1년 내내 다양한 전시가 있어지는 곳이다.
전시장과 연습공간 운영 및 창의적 문화예술교육 프로그램 등을 통해 예술창작의 거점을 마련해 도민들의 문화향유 기회를 확대하고, 지역과의 긴밀한 연계를 통해 원도심 활성화에 함께한다.",,,,화~금 09:30~21:30 / 주말 09:30~18:00,매주 월요일 정기 휴무,무료,,전시마다 상이함,있음,무료,,,,
하이마트 음악감상실,41938,,,대구광역시 중구 동성로6길 45,35.8690256969,128.5979069288,1957년에 생긴 대구 동성로 하이마트 음악감상실은 이색 데이트 코스로 젊은 사람들이 많이 찾는 곳이다. 하이마트는 독일어로 마음의 고향이라는 뜻이다. 현재 3대째 음악을 전공한 외손자 부부가 운영하고 있다. 요즘은 음악을 휴대폰이나 컴퓨터 등으로 듣지만 60~80년대 분들은 학창 시절 마이마이나 레코드판으로 음악을 들었다. 하이마트 음악감상실은 그때 그 추억을 다시 느껴볼 수 있는 공간이다. 음악감상실 내부는 넓은 편이며 레트로 감성으로 아기자기하게 꾸며져 있다. 음악동호회나 모임등을 할 수 있는 공간도 마련되어 있다. 음료와  다과도 준비되어 있고 편한 자리에 앉아 두 시간 동안 음악을 방해받지 않고 감상할 수 있다. 두 시간 마다 쉬는 시간이 있어 그때 잠시 이야기를 나눌수도 있다. 우리 시대 고전음악 감상을 할 수 있어 특별한 데이트 코스로 인기 있다.,,,,10:00 - 21:00,,"8,000원",,2시간,,,,,,
아트스페이스3,3044,,,서울특별시 종로구 효자로7길 23,37.5784777664,126.9733489303,"아트스페이스3은 독창적이고 혁신적인 한국 현대미술 작품을 소개하는 갤러리이다. 숫자 ‘3’은 예술가와 관람객, 갤러리 세 그룹 간의 조화와 균형을 지향한다는 의미를 담고 있다. 인사동에서 시작해 2018년 서촌으로 자리를 옮긴 뒤에도 추상미술 기획전 <이것을 보는 사람은 그것을 생각한다>, <젊은 공예가들의 신작전, 공예이기>, <컬러풀 한국 회화 – 조화에서 정화까지> 등 한국 현대미술의 현주소를 짚어주는 전시를 주로 개최했다. 화이트 벽과 시멘트벽을 동시에 갖춘 메인 전시실은 천정의 높이도 4m, 8m 등 다양하게 이루어져 재미있는 전시가 가능하도록 설계되었다. 메인 전시실과 복층 구조로 연결된 공간에는 16세기 조선 시대 주거 형태를 볼 수 있는 유구전시실도 있다. 이는 건물을 지으면서 발굴한 조선부터 근대에 이르는 주거 유적과 유물들을 전시하기 위해 별도 전시실을 마련한 것으로 덕분에 최전선의 현대미술과 옛 문화재가 공존하는 독특한 공간이 탄생했다.",,,,10:30~18:00,"매주 일요일, 월요일",전시별 상이 (홈페이지 참조),,,불가,,,,,
LG상남도서관,3057,,,서울특별시 종로구 창덕궁1길 18 LG상남도서관,37.5796917853,126.9884669624,LG 상남도서관은 국내 최초의 ‘디지털 도서관’이자 세계 최초의 ‘책 읽어주는 도서관’이다. LG그룹 설립자인 구자경 명예회장이 기증한 사저를 기반으로 1996년 개관하였다. 우리나라 과학기술 연구와 자료를 공급하는 곳으로 앞으로의 발전과 미래를 위해 만들어졌다. 국내에서 입수하기 힘든 해외 과학기술 논문을 디지털화하여 인터넷을 통해 무료로 제공하고 있으며 2층 세미나실은 소규모 과학기술 분야 학술 모임장으로 무료 대여하고 있다. 해당 세미나실은 홈페이지를 통해 예약 가능하니 과학기술에 관심이 많다면 최신 논문을 보고 토론을 할 수 있다.,,,,,,무료,,,,,,,,
솔송주문화관,50018,,,경상남도 함양군 개평길 50-6,35.5657866917,127.768468883,"함양군 개평한옥문화체험 휴양마을 안에 위치하고 있는 솔송주문화관은 조선시대 이름난 양반촌인 하동 정씨 가문에서 이어져 내려온 가양주를 모태로 2012년 설립되었다.
솔송주는 소나무의 솔잎과 송진을 이용해 담근 술로 정여창 가문에 찾아오는 손님에게 대접하던 가양주였다. 박흥신 명인이 정씨 가문의 며느리가 되면서 시어머니에게 술 빚는 법을 전수받아 지금껏 솔송주(알코올 13도)를 빚어 오고 있다. 솔송주문화관에서는 솔송주를 비롯해 녹파주(알코올 15도), 담솔(알콜 40도)을 만나볼 수 있다. 녹파주는 농촌진흥청이 고문헌에서 복원한 전통주로 박흥신 명인이 제조법을 기술이전 받아 생산하고 있다. 
솔송주는 2014~2015년 대한민국 주류 대상에서 청약주 부문 대상을 수상하였고, 담솔은 2015년 대한민국 주류 우리 술 리큐어 부문 대상 수상 및 2023년 대한민국 주류 우리 술 리큐어 부문 대상을 수상하여 그 맛과 향을 인정받은 전통주이다. 솔송주문화관에서는 지리산과 덕유산 자락에서 자라나는 질 좋고 신선한 과실의 맛을 그대로 담아낸 복분자술과 산머루주도 있다.
개평한옥문화체험 마을 안에는 솔송주문화관 외에도 100여 년 이상 된 한옥 60여 채와 문화재로 지정된 5개의 고택과  소나무 군락지 등이 있어 많은 관광객들이 찾고 있다.",,,체험은 15명 이상,10:00~17:00,매주 화요일,"관람은 무료, 체험장 이용시 3만원",,"관람시간은 30분, 체험시간은 1시간",있음 (약 소형 20대),,불가,,가능,"체험프로그램:증류주 내리기 및 칵테일 만들기
예약안내:솔송주 홍보 체험관 전통주 체험 프로그램 문의 055-963-8992
"
화진포역사안보전시관,24707,,,강원특별자치도 고성군 현내면 이승만별장길 33,38.4710316647,128.436791546,"화진포역사안보전시관(이승만·이기붕·김일성 별장)은 울창한 소나무 숲과 넓은 호수, 명사십리와 청정바다가 한데 어우러진 빼어난 자연경관을 자랑하는 고성의 대표적인 관광지이다. 동해안 최북단인 이곳은 주변 경관이 수려해 과거 분단 이전과 이후 남과 북의 정치인과 유명 인사들이 별장으로 이용한 자취가 근대문화유산으로 남아있다. 이승만 초대 대통령과 김일성, 이기붕 전 부통령과 박마리아 등 한국 근대역사의 한 페이지를 장식한 주요 정치가들이 별장을 지어 여름을 지낸 곳으로 유명하다.",,,,"하절기 09:00~18:00<br />
동절기 09:00~17:30",연중무휴,"[화진포 역사안보전시관] <br />
개인 : 어른 3,000원 / 청소년 및 어린이 2,300원<br />
단체 : 어른 2,300원 / 청소년 및 어린이 1,600원 <br />
※ 단체 30인 이상 <br />
※ 이승만 별장, 이기붕 별장, 화진포의 성 (김일성 별장), 생태박물관 포함  <br />
※ 국가유공자, 장애인, 65세 이상 무료",,,주차 가능,무료,없음,불가,없음,"한국어 안내서비스:가능(화진포관광안내소 - 사전신청) 
"
강진 오감통,59231,,,전라남도 강진군 강진읍 오감길 22동,34.6391324006,126.773588414,"강진 오감통은 음악창작소, 먹거리 장터, 한정식 체험관 등으로 이루어진 복합문화공간이다. 화려한 공연, 눈과 입이 즐거운 산해진미, 특별한 재미가 넘치는 체험거리, 친환경 로컬푸드 등을 즐길 수 있다. 전남음악창작소는 지역 뮤지션들의 창작활동을 지원하고 더불어 지역의 대중음악 소비자층을 확대하기 위해 지역 뮤지션과 지역 주민들을 위한 진정한 열린 복합문화공간으로서의 역할을 다하고 있다. <br>",,"7,684㎡",,,,,,,주차 가능,,없음,없음,가능,"대관안내:녹음실, 개인연습실, 소연습실, 중연습실, 대연습실 등 대관 가능
"
거창사과테마파크,50147,,,경상남도 거창군 거창읍 거함대로 3372-60,35.674046609099996,127.92176079049999,"거창 사과테마파크는 사과에 대한 모든 것을 오감을 통해 보고 느끼고, 체험할 수 있는 전시공간이다. 거창 명품사과를 이용하여 맛있는 요리도 만들고 다양하게 체험해 볼 수 있는 곳인 요리 교실이 있다. 고제면에 위치하고 있는 사과 교육장은 거창사과 마크가 있는 원형광장 및 공원으로 되어 있으며 앉아서 쉴 수 있는 등나무 그늘 벤치와 아이들이 뛰어놀 수 있는 잔디밭 및 산책길로 조성되어 있으며, 아름다운 야생화도 볼 수 있다.",,건축면적 364.02㎡ / 연면적 610.35㎡(지상 2층) / 공원시설 504.57㎡,"1,000명",10:00~17:00,매주 월요일,무료(체험비 별도),,1시간,주차 가능,무료,없음,없음,없음,"사업내용:사과를 보고, 느끼고, 즐길 수 있도록 다양한 전시와 체험 프로그램 제공
체험프로그램:사과요리교실 체험(사전예약신청)
한국어 안내서비스:단체관람시 견학안내 요청가능
"
충주커피박물관,27492,,,충청북도 충주시 살미면 월악로 432,36.9045940445,128.01457120799998,"넓은 부지에 아기자기한 정원과 인공폭포, 아늑한 건물들이 들어서 있다. 커피 박물관 외에도 커피 로스팅 및 바리스타 체험관, 카페, 전망대, 글램핑장, 방갈로, 카라반 펜션을 함께 운영해 볼거리 즐길 거리가 가득하다. 박물관은 부지 내 모든 시설들을 굽어보는 곳에 위치해있다. 카페에서 입장권을 구매해야 하지만, 음료를 주문하면 무료로 입장할 수 있다. 박물관 입구에는 그라인더 모양새를 한 포토존이 있고 문을 열고 들어서면 커피 모종이 가득한 작은 식물원의 온기가 관람객을 맞는다. 박물관 규모는 크지 않지만, 커피를 사랑하는 부부가 15년간 그러모은 커피와 관련된 모든 것들을 펼쳐놓은 만큼, 알차다. 세계 각국에서 모아온 커피 관련 용품과 기구들, 찻잔, 티스푼, 벽걸이 아트 그라인더, 오래된 커피 광고지 등 어느 것 하나 고풍스럽지 않은 것이 없다. 전시장 내부에서 가장 눈에 띄는 것은 높이 170cm, 휠의 지름 70.5cm 규모의 초대형 황동 그라인더다. 130년의 역사를 자랑하지만 보존 상태가 좋아 여전히 부드럽게 원두를 분쇄할 수 있단다. 커피와 관련된 기본 지식이 적힌 패널을 벽면 곳곳에 설치해 커피를 잘 모르는 여행자의 호기심을 채운다. 박물관을 둘러보는 것 외에 원두 로스팅과 바리스타 체험, 화장품, 비누, 향초, 향수 만들기 체험, 앤티크 부엌에서의 요리 만들기 등 다양한 체험이 가능해 가족단위 나들이객에게 인기다. 각 체험 프로그램은 예약이 필수다. 충주 커피 박물관이 충주시 농업기술센터와 함께 개발한 여우 커피도 맛볼 것! 여주와 우엉을 100도에서 200도로 볶아 커피와 비슷한 맛과 향이 나는 건강차로 당뇨에 좋다.<br>",,,,수~금요일 11:00~17:00<br>주말 10:00~18:00,"매주 월요일, 화요일",,,,,,없음,불가,없음,
강릉단오제전수교육관,25586,,,강원특별자치도 강릉시 단오장길 1(노암동),37.7481857234,128.89502532,2005년 11월 25일 강릉단오제의 유네스코 ‘인류구전 및 무형유산 걸작’ 선정을 위한 노력의 일환으로 2004년 건립되었다. 강릉단오제(국가무형문화재 제13호)의 전승활동과 일반인들에게 사계절 강릉단오제를 관람할 수 있는 기회를 부여하는 등 강릉단오제를 중심으로 전통문화교실을 운영하고 있는 시민 문화 공간이다.<br /><br />* 개관일 2004년 2월 19일<br>,,"부지면적 : 6,408㎡, 건축연면적 : 4,115㎡ (지상2층, 지하1층)",공연장 1동 453석,09:00~18:00,"매주 일요일, 1월 1일, 설날, 추석",무료,,약 1시간 내외,주차 가능,,없음,불가,없음,"소장품현황:강릉단오제 제례, 무속악, 굿, 관노가면극 관련소품 등
외국인 체험가능 프로그램:가능
사업내용:기획.상설공연, 전통문화교실 8개 강좌
한국어 안내서비스:단체예약시 전시안내 가능(사전예약/전화신청)
대관안내:공연장 대관 가능(문의 033-660-3940~4)
예약안내:단체 방문시 사전예약
"
기후변화홍보관,26456,,,강원특별자치도 원주시 행구로 362(행구동),37.342434943,127.9967462599,"강원도 원주시 기후변화홍보관은 2014년 7월 18일 개관하였으며, 자동차로 평창에서 20~30분 거리에 위치해있다. 기후변화홍보관은 원주시 행구수변공원주변에 위치해있다. 거리도 부담이 되지 않고 시설도 잘 갖추어져있어 아이들과 함께 들르기에 더욱 더 좋은 시설이다.
직접 손으로 만지고 눈으로 보며 지구의 환경과 물, 지구온난화 등 여러가지를 알 수 있게 조성해 놓은 상설전시관과 시기에 따라 달라지는 테마전시관, 지구의 환경문제를 직접 해결할 수 있는 방법을 배워보는 체험관, 그리고 야외에는 자가동력을 이용한 자전거와 그네 등 쉼터가 있는 놀이터가 있다.
지하 1층, 지상 2층 규모로 기획전시실, 4D영상관, 체험실, 사무실 등의 시설을 갖추고 있다. 

(출처 : 강원도청)",,,,09:00~18:00,연중 무휴,"무료~2,000원",,주차 가능,,,없음,없음,없음,
영월화석박물관,26202,,,강원특별자치도 영월군 주천면 평창강로 139,37.2931193083,128.3408639445,"영월화석박물관에는 46억년 지구의 신비함이 고스란히 전시되어 있다. 선캄브리아누대부터 현생누대까지, 원생대부터 고생대, 중생대, 신새대의 곤충화석까지 각 기별로 다양하게 전시되어 있다. 특히 영월지역은 5억년 전 바다였다는 사실을 확인할 수 있다. 이처럼 영월화석박물관에 오면 학생에게는 배울 거리를 어른에게는 흥미로움을 제공해주는 동시에 46억년 지구 생물의 변화를 한눈에 살펴볼 수 있는 교육의 장이 된다.
책에서만 볼 수 있는 화석을 직접 만지면서 체험할 수 있는 장점이 있다. 공룡알과 배변, 운석 등 다양한 화석들이 마련되어 있어 볼거리가 풍부하다. 어린아이들이 화석을 처음 보고, 배우기에 아주 좋은 체험학습의 장소가 되고 있다. 또한 초등학교 교과서와 각종 서적에 나오는 실물 표본들이 이곳에서 촬영된 것이라 한다. 그만큼 다양한 화석이 훌륭하게 보존되어 있는 곳이다. 

(출처 : 강원도청)",,,,"11월~2월 10:00 ~ 17:00 <br />
7월~8월 09:00~18:00",연중 무휴,"일반 5,000원 / 중고 4,000원 / 유치원 3,000원",,,주차 가능,,없음,없음,없음,
올챙이추억전시관,25266,,,강원특별자치도 횡성군 둔내면 경강로궁종1길 121-7,37.5092100937,128.1441419379,"올챙이추억전시관은 50년대의 생활사를 조명한 테마관으로 사라진 전통 생활의 모습과 풍물을 테마로 재미있게 엮어 추억의 공간을 체험할 수 있도록 만든 공간이다. 아이들과 함께 가면 엄마아빠의 어릴 적을 알려줄 수 있고 부부끼리 가도 옛 추억을 떠올릴 수 있는 아름답고 재미난 공간이다.

또한 70년, 80년대의 추억을 잘 재현한 공간으로 어른들에게는 향수를 아이들에게는 신비감을 줄 수 있는 공간이다. 생태 환경과 적절히 어우러진 향토감이 더욱더 정감을 주며 교육의 공간으로도 충분한 가치가 있다. 아이들이 있다면 함께하며 새로운 추억들과 엄마아빠의 어린 시절을 들려주는 것도 하나의 아름다운 기억으로 자리 잡게 된다. 

(출처 : 강원도청)",,,,10:00~18:00,연중무휴,"일반 3,000원",,,주차 가능,,없음,없음,없음,
김동명문학관,25437,,,강원특별자치도 강릉시 사천면 샛돌1길 30-2,37.8206040035,128.83769491340001,"시인 김동명의 문학관은 강원도 강릉시 사천면 노동리에 있다. 김동명은 전원적인 서정과 민족적인 비애를 시화한 시인으로 강릉의 현대 문학에 지평을 여는 계기를 마련하였다. 이에 강릉이 낳은 한국 근현대의 대표 문인인 초허 김동명[1900~1968]의 삶을 재조명하고, 그의 문학 정신을 계승하며 지역 문예 진흥에 이바지하기 위해 2013년 7월 3일 김동명 문학관을 개관하였다. 강릉에는 문인들이 활동할 수 있는 공간이 부족하여 다양한 문학 활동을 하는 데 다소 제약이 되었으나, 김동명 문학관이 개관함으로써 유용한 공간으로 활용되고 있다.<br>",,,,10:00~18:00,"매주 월요일, 화요일",,,,,,없음,없음,없음,
영월음향역사박물관,26247,,,강원특별자치도 영월군 김삿갓면 내리계곡로 18,37.0702083781,128.7555000559,"영월음향역사박물관은 폐교를 활용한 130평방미터 공간에 1920년대부터 사랑을 받아온 진공관 라디오를 비롯해 1950년부터 본격적으로 시판되기 시작한 트랜지스터라디오 등 국내외 라디오의 변천사를 엿볼 수 있는 각종 라디오들이 전시되어 있다. 라디오 250여점과 축음기, 녹음기, 사진기 등 다채로운 소장품 등이 전시되어 있다.<br>영월군 김삿갓면에서는 박물관 고을이라 불릴 만큼 다양한 박물관들이 위치해 있다. ‘양씨판화미술관’, ‘영월동굴생태관’, ‘영월음향역사박물관’, ‘조선민화박물관’, ‘호안다구박물관’ 등 각각의 주제를 가지고 다양한 볼거리와 체험요소를 선물하는 곳들이다. 김삿갓마을에 들려 마을의 정감 있는 풍경을 감상하고, 이와 함께 다양한 박물관에 찾아가면 더욱 의미 있는 여행이 된다. (출처 : 강원도청)",,,,10:00 ~ 18:00,"매주 월요일, 1월1일, 설/추석 연휴","일반 5,000원",,,,,없음,없음,없음,
고성 DMZ박물관,24701,,,강원특별자치도 고성군 현내면 통일전망대로 369,38.5763238583,128.38265706290002,"DMZ박물관은 남북한 평화와 안정을 바라는 전 국민의 염원을 담아 동해안 최북단인 군사분계선과 근접한 민통선 내에 있다.지구 상에 남아 있는 유일한 분단국의 상징인 DMZ를 통하여 지난 1950년 한국전쟁 발발 전후 모습과, 휴전협정으로 탄생한 휴전선이 갖는 역사적인 의미, 이로 인해 나타난 동족 간 이산의 아픔, 지속되는 군사적인 충돌, 60여 년간 사람의 손길이 닿지 않아 원형 그대로 보존되어 있는 생태환경 등을 전시물이나 영상물로 재구성하였다.",,,,"3~10월 09:00~18:00<br />
11~2월 09:00~17:00<br />
※ 관람시간 종료 1시간 전까지 입장 가능","매주 월요일, 1월1일  (월요일이 공휴일인 경우 그 다음날)","무료<br />
※ 통일전망대 비용 별도",,40분~1시간 30분,주차 가능,무료,가능,없음,없음,"예약안내:교육신청 및 관람예약 (홈페이지 예약) 
대관안내:다목적센터 대관 (소회의실과 대강당 등)
"
박물관은 살아있다(제주중문점),63535.0,,,제주특별자치도 서귀포시 중문관광로 42,33.2546667452,126.40928580049999,"* 당신이 있어야 완성되는 작품, 상상이 현실이 되는 곳 *<br /><br />여러 가지 테마로 구성된 체험형 아트 뮤지엄으로, 다양한 방식으로 참여하고 사진을 찍으며 즐기는 테마파크이자 미술관이다.<br><br>1.이상한 백작의 집: 고흐, 피카소, 앤디워홀 등 명화 속에 들어가 작품의 주인공이 되는 체험을 할 수 있다.<br>2.블랙원더랜드: 미디어&라이트아트로 구성된 방과 통로로 이루어진 공간으로, 인생 사진을 남길 수 있다. <br>3.착시테마공간: 평면과 입체과 섞인 오브제아트에 재미있는 포즈로 작품을 완성시키는 참여형 공간이다<br>",,,,10:00~19:00 (발권마감 17:30 / 입장마감 18:00),연중무휴,"개인 - 성인 14,000원 / 청소년, 군경 13,000원 / 어린이 12,000원 / 경로, 장애인, 국가유공자 12,000원","단체할인가 - 성인 9,000원 / 중고교생, 군경 8,000원 / 어린이 7,500원 / 경로자, 장애인, 국가유공자 7,500원<br />※ 경로자, 장애인, 국가유공자 - 신분증 소지자(본인에 한함)<br />※ 제주도민은 30% 할인 적용(신분증소지자)",,"있음(승용차 약 100대, 대형버스 약 20대 주차 가능)",무료,없음,불가,가능,"예약안내:단체(20명 이상) 방문시 사전 예약 064-805-0984
"
고흥분청문화박물관,59515.0,,,전라남도 고흥군 두원면 분청문화박물관길 99,34.627859577399995,127.3244875637,"고흥의 모든 역사·문화를 한 곳에서 볼 수 있는 고흥분청문화박물관은 대한민국 최대 규모의 분청사기 요지로 국가 지정문화재로 지정된 곳에 자리하고 있으며 1980년 운대리가마터 발굴을 시작으로 37년간의 장기프로젝트 끝에 2017년 10월 31일 개관했다. 찬란하고 유구한 고흥의 역사를 기록·보존하고 백토분장의 부드러운 아름다움이 돋보인 분천도자문화와 우리의 정신문화인 설화문화를 계승·발전시키기 위해 건립되었다.

(출처 : 고흥관광 홈페이지)",,지상 3층,,09:00~18:00 (입장시간 09:00~종료 1시간전),"매주 월요일, 1월1일, 설날/추석 당일 휴관","* 어른 : 개인 2,000원 / 단체 1,000원<br />
* 청소년,군인 : 개인 1,500원 / 단체 700원<br />
* 어린이 : 개인 1,000원 / 단체 500원",,,주차가능,,없음,불가,없음,
뮤지엄 원,48058.0,,,부산광역시 해운대구 센텀서로 20(우동),35.1714112817,129.12906027879998,"부산 센텀에 위치한 뮤지엄 원은 예술 전문 기획사 쿤스트원이 2019년에 설립한 미디어 전문 현대 미술관으로, 2022년 3월 뮤지엄 원이라는 새로운 이름으로 재개관 했다. 약 700여 평 규모의 복층 형태로 이루어진 뮤지엄 원은 8천만 개의 LED를 바닥과 천장, 벽면에 설치하여 관람객들을 예술 작품 속으로 안내하는 초현실적인 경험을 선사한다. 
뮤지엄 원은 대중을 위한 예술, 대중이 체험하고 즐길 수 있는 예술을 지향하며 대중들이 열광하는 환상적인 미디어 아트뿐만 아니라 국내외를 대표하는 현대 미술가 21인의 영상, 설치, 사진, 회화, 조각, 도예 등 약 100여 점의 작품까지 만나볼 수 있다.",,,400명,평일 10:00~19:00<br>주말 및 공휴일 10:00~20:00<br>※ 마감 1시간 전까지 입장 가능,없음 (휴관 시 공식 홈페이지 공지),"성인 18,000원 / 청소년 15,000원 / 어린이 13,000원",,약 90분 ~ 120분 소요,"있음 (중형기준 약 50여대 주차 가능, 관광버스 주차 시 미리 연락 필요)","미술관 관람 시 2시간 무료주차, 이후 30분에 1,000원",불가,불가,가능,
고모역복합문화공간,42260.0,,,대구광역시 수성구 고모로 208,35.8583006239,128.6786417851,"고모역은 지역민의 향수와 추억, 시대의 애환과 사연을 담고 있는 장소이며 역사, 문화가 살아 숨쉬는 공간이다. 고모역복합문화공간에서는 단절된 폐역사를 살아있는 역사로 재생하여 고모역의 의미를 재발견하고 새로운 문화적 가치를 창조하고자 한다. 세대와 세대를 이어주는 의미 있는 장소로써 어른들에게는 향수를 아이들에게는 역사를 되돌아보며 미래를 이야기하는 문화의 플랫폼 이다.",,,,10:00~17:30,"매주 월요일, 1월 1일, 설·추석 당일<br/>※ 월요일이 공휴일인 경우 다음 평일 휴관",무료,,,주차가능,,없음,없음,없음,"체험프로그램:느린우체통(엽서보내기), 그림 그리기 체험, 역무원 체험, 음악감상, 소망카트
예약안내:053-791-3334
"
월곶 생활문화센터,10024.0,,,경기도 김포시 월곶면 군하로276번길 20,37.7170763532,126.55220572969999,"월곶생활문화센터는 지역 주민과 생활문화 동호회에 문화 활동 공간을 제공하고, 다양한 문화 예술 프로그램을 운영하여 지역 주민의 문화 감수성과 문화적 역량을 키워 생활문화 활동을 할 수 있도록 지원하고 있다. 지역 주민 누구나 생활문화를 향유하고 창조하는 공간으로 자유롭게 이용할 수 있으며 생활문화 동호회의 활동의 장을 마련하는 복합 문화 예술 공간이다.",,,,화~금 10:00~18:00<br>토 10:00~17:00,"매주 일요일, 월요일, 법정공휴일",무료,,,있음 (약 40대 주차가능),,없음,없음,없음,"예약안내:생활문화 동호회 : 방문 접수 또는 이메일 접수
"
여초서예관,24606.0,,,강원특별자치도 인제군 북면 만해로 154,38.1889706404,128.31981100069999,"여초서예관은 근현대 한국 서예 역사에서 최고의 작가로 평가받는 김응현(1927~2007)을 기리기 위해 설립되었다. 여초는 ‘처음과 같다’는 의미로 김응현의 호인데, 한결같이 글씨 수련에 전념했던 그의 생애와도 잘 어울린다. 그는 심지어 사고로 오른손을 다치게 되자, 왼손으로 쓴 작품을 모아 전시회를 열기도 하였다.<br /><br />여초서예관을 설계한 건축가 이성관은 김응현의 서예 작품을 깊이 연구하고, 그의 작품에서 풍기는 고상하고 순결한 느낌이 건축에도 잘 녹아들 수 있기를 바랐다. 건축가는 서예관이 지어질 장소 주변을 두르고 있는 오래된 소나무 숲에 주목했다. 한국인들은 계절의 변화에 관계없이 푸르름을 잃지 않는 소나무를 언제나 반듯하고 품위 있는 선비에 비유한다. 건축가는 서예관으로 주변의 소나무 숲을 끌어들여 김응현의 작품에 기품을 더하는 방향으로 설계를 진행하였다. 서예관은 이러한 콘셉트가 반영되어 주변의 소나무 숲을 보존하는 동시에 가능한 자연지형을 훼손하지 않는 상태로 대지에 앉혀졌다. 소나무 숲을 배경으로 하고, 지면에는 경사지형을 활용하여 교육 시설과 부대시설을 배치하였다.<br /><br />그리고, 전시시설은 필로티를 이용하여 지면에서부터 한 층을 띄워 올렸다. 필로티를 통해 전시시설이 지면에서 분리되면서 생겨난 수평의 빈 공간으로는 주변의 자연경관을 끌어들여, 서예관으로 가까이 다가갈수록 건물과 자연이 하나로 중첩되어 보인다. 필로티를 지나 건물로 들어서면 위로는 네모난 형태로 하늘이 열려있고, 아래로는 잔잔한 수면 위로 햇살이 반짝이는 연못을 만나게 된다. 기존에 대지를 흐르던 개울물을 그대로 살려 만들어진 이 연못은 필로티로 만들어진 공간 사이로 들어오는 주변의 자연을 비출 뿐만 아니라, 전시시설 벽면에 새겨진 김응현의 서예 작품을 비추면서 여초 김응현 작품이 갖는 고상하고 순결한 느낌을 부각시킨다.<br>",,,,09:00~18:00(동절기 17:30),"매주 월요일, 1월 1일, 설·추석 당일",무료,,,,,없음,없음,없음,
플랫폼엘,6053.0,,,서울특별시 강남구 언주로133길 11(논현동),37.5161083307,127.03439791299999,"플랫폼 엘은 패션기업 루이까또즈에서 운영하는 복합문화시설로, 창의적인 예술가들을 발굴하고 다양한 문화 콘텐츠를 공유할 수 있는 문화 플랫폼을 목표로 설립되었다. 건축가 이정훈은 컴퓨터를 이용한 실험적이고 진보적인 건축설계로 주목받고 있는 한국의 차세대 건축가로서, 루이까또즈는 새롭게 시도되는 문화 플랫폼의 목표에 부합하는 건축설계를 위해 그를 선택하였다. 건축가는 패션기업 루이까또즈가 한국 기업에 인수되기 전 프랑스의 베르사유에서 탄생하였으 며, 루이까또즈(루이 14세)란 기업명도 그러한 배경에서 유래하였다는 사실에 주목하였다. 그리고, 루이 14세(1638~1715) 시대 베르사유 궁전으로 대표되는 화려한 바로크 건축 양식에서 모티브를 얻어 플랫폼 엘을 설계하였다고 한다.<br /><br />플랫폼 엘에서 가장 먼저 눈길을 사로잡는 것은 마치 밧줄이나 실로 건물을 휘감은 듯 다양한 색상의 알루미늄바가 얽혀있는 입면이다. 낮에는 알루미늄 특유의 고급스러운 광택과 함께 줄무늬 사이에 숨겨진 유리가 반사하는 빛으로 은은하게 빛나고, 밤에는 알루미늄바 사이에 숨겨진 조명이 건물의 입면을 화려하게 변신시킨다. 이에 더해 2~3겹으로 얽혀 있는 매듭은 입면 자체에 깊이감과 공간감을 만들어 건물 전체에 고급스러운 느낌을 더한다. 플랫폼 엘의 가장 핵심적인 요소는 건축가가 ‘링크야드’라고 이름 지은 건물의 중정이다. 건축가는 건물 중심부에 커다란 중정을 만들고, 이 곳이 한국의 전통적인 마당과 같은 역할을 하도록 기능을 부여했다. 이와 같은 건축가의 의도와 일치하게 중정은 카페의 외부 공간, 상점과 연계된 이벤트, 미술관 및 공연장과 연계된 오픈 스페이스로 활용되며, 때에 따라서는 그 자체가 문화 예술 공연장의 역할을 수행한다. 특히 날이 어두워지면 중정을 둘러싼 타공 알루미늄 패널을 통해 반짝이는 조명이 공간을 환상적인 느낌으로 만들어 이곳을 찾는 이들에게 감흥을 더한다.<br>",,,,화~일 11:00~20:00,매주 월요일 휴관,"일반 : 10,000원<br />청소년(만8세~만18세) : 6,000원<br />우대(만 65세 이상, 장애인) : 6,000원<br />단체(20인 이상) : 5,000원<br />※ 미취학 아동 (3세 ~ 7세)은 무료",,,,,없음,없음,없음,
